raw_comp_writers_text,CLEAN_TEXT,split_phrases,preproc_phrases,PREPROC_OUT,"ner_phrases_pos_(0.25, 0.25)","NER_OUT_pos_(0.25, 0.25)",ner_phrases_drop_(0.25),NER_OUT_drop_(0.25),reference_labels,predicted_labels,all_phrases,edit_distance,bleu_score
X-Zone Music/Youth Friends Of Jesus & Deacon Vincent,Youth Friends Of Jesus/Deacon Vincent,"['X-Zone Music', 'Youth Friends Of Jesus', 'Deacon Vincent']","['X-Zone', 'Youth Friends Of Jesus', 'Deacon Vincent']",X-Zone/Youth Friends Of Jesus/Deacon Vincent,"['X-Zone', 'Youth Friends Of Jesus', 'Deacon Vincent']",X-Zone/Youth Friends Of Jesus/Deacon Vincent,['Deacon Vincent'],Deacon Vincent,"[1, 1]","[1, 0]","['Deacon Vincent', 'Youth Friends Of Jesus']",23,0.11633369384516798
Rexx Life Raj,Rexx Life Raj,['Rexx Life Raj'],['Rexx Life Raj'],Rexx Life Raj,['Rexx Life Raj'],Rexx Life Raj,[],,[1],[0],['Rexx Life Raj'],13,0.0
Malcolm McCormick/Pharrell Williams,Malcolm McCormick/Pharrell Williams,"['Malcolm McCormick', 'Pharrell Williams']","['Malcolm McCormick', 'Pharrell Williams']",Malcolm McCormick/Pharrell Williams,"['Malcolm McCormick', 'Pharrell Williams']",Malcolm McCormick/Pharrell Williams,"['Malcolm McCormick', 'Pharrell Williams']",Malcolm McCormick/Pharrell Williams,"[1, 1]","[1, 1]","['Pharrell Williams', 'Malcolm McCormick']",0,1.0
"Payroll Giovanni,Jeezy",Payroll Giovanni/Jeezy,"['Payroll Giovanni', 'Jeezy']","['Payroll Giovanni', 'Jeezy']",Payroll Giovanni/Jeezy,"['Payroll Giovanni', 'Jeezy']",Payroll Giovanni/Jeezy,['Jeezy'],Jeezy,"[1, 1]","[1, 0]","['Jeezy', 'Payroll Giovanni']",17,0.11633369384516798
Fruits Music/copyright control,,"['Fruits Music', 'copyright control']",['Fruits'],Fruits,['Fruits'],Fruits,[],,[],[],[],0,0.0
WALKER QUAMEO L (MR),,"['WALKER QUAMEO L', 'MR']","['WALKER QUAMEO L', 'MR']",WALKER QUAMEO L/MR,"['WALKER QUAMEO L', 'MR']",WALKER QUAMEO L/MR,"['WALKER QUAMEO L', 'MR']",WALKER QUAMEO L/MR,"[0, 0]","[1, 1]","['MR', 'WALKER QUAMEO L']",18,0.0
Komal Salami/Surinder Bachan/Tips Industries Ltd.,Komal Salami/Surinder Bachan,"['Komal Salami', 'Surinder Bachan', 'Tips Industries Ltd.']","['Komal Salami', 'Surinder Bachan', 'Tips Industries Ltd.']",Komal Salami/Surinder Bachan/Tips Industries Ltd.,"['Komal Salami', 'Surinder Bachan', 'Tips Industries Ltd.']",Komal Salami/Surinder Bachan/Tips Industries Ltd.,"['Komal Salami', 'Surinder Bachan']",Komal Salami/Surinder Bachan,"[1, 1]","[1, 1]","['Komal Salami', 'Surinder Bachan']",0,1.0
Leslie Bricusse,Leslie Bricusse,['Leslie Bricusse'],['Leslie Bricusse'],Leslie Bricusse,['Leslie Bricusse'],Leslie Bricusse,['Leslie Bricusse'],Leslie Bricusse,[1],[1],['Leslie Bricusse'],0,1.0
Sangeeth Sagar/Mysore V.Doraiswamy Iyengar,Sangeeth Sagar/Mysore V.Doraiswamy Iyengar,"['Sangeeth Sagar', 'Mysore V.Doraiswamy Iyengar']","['Sangeeth Sagar', 'Mysore V.Doraiswamy Iyengar']",Sangeeth Sagar/Mysore V.Doraiswamy Iyengar,"['Sangeeth Sagar', 'Mysore V.Doraiswamy Iyengar']",Sangeeth Sagar/Mysore V.Doraiswamy Iyengar,"['Sangeeth Sagar', 'Mysore V.Doraiswamy Iyengar']",Sangeeth Sagar/Mysore V.Doraiswamy Iyengar,"[1, 1]","[1, 1]","['Mysore V.Doraiswamy Iyengar', 'Sangeeth Sagar']",0,1.0
Bernardo Guevara Barros,Bernardo Guevara Barros,['Bernardo Guevara Barros'],['Bernardo Guevara Barros'],Bernardo Guevara Barros,['Bernardo Guevara Barros'],Bernardo Guevara Barros,['Bernardo Guevara Barros'],Bernardo Guevara Barros,[1],[1],['Bernardo Guevara Barros'],0,1.0
Luis Enrique Lopez,Luis Enrique Lopez,['Luis Enrique Lopez'],['Luis Enrique Lopez'],Luis Enrique Lopez,['Luis Enrique Lopez'],Luis Enrique Lopez,['Luis Enrique Lopez'],Luis Enrique Lopez,[1],[1],['Luis Enrique Lopez'],0,1.0
Thanh Trang,,['Thanh Trang'],['Thanh Trang'],Thanh Trang,['Thanh Trang'],Thanh Trang,['Thanh Trang'],Thanh Trang,[0],[1],['Thanh Trang'],11,0.0
"Christopher Chris Gomez,Mark Christopher Hardin,Quin NFN",Christopher Chris Gomez/Mark Christopher Hardin/Quin NFN,"['Christopher Chris Gomez', 'Mark Christopher Hardin', 'Quin NFN']","['Christopher Chris Gomez', 'Mark Christopher Hardin', 'Quin NFN']",Christopher Chris Gomez/Mark Christopher Hardin/Quin NFN,"['Christopher Chris Gomez', 'Mark Christopher Hardin', 'Quin NFN']",Christopher Chris Gomez/Mark Christopher Hardin/Quin NFN,"['Christopher Chris Gomez', 'Mark Christopher Hardin', 'Quin NFN']",Christopher Chris Gomez/Mark Christopher Hardin/Quin NFN,"[1, 1, 1]","[1, 1, 1]","['Christopher Chris Gomez', 'Mark Christopher Hardin', 'Quin NFN']",0,1.0
Lil $herm 900,Lil $herm 900,['Lil $herm 900'],['Lil $herm 900'],Lil $herm 900,['Lil $herm 900'],Lil $herm 900,['Lil $herm 900'],Lil $herm 900,[1],[1],['Lil $herm 900'],0,1.0
Diveev Fedor Alexandrovich,Diveev Fedor Alexandrovich,['Diveev Fedor Alexandrovich'],['Diveev Fedor Alexandrovich'],Diveev Fedor Alexandrovich,['Diveev Fedor Alexandrovich'],Diveev Fedor Alexandrovich,['Diveev Fedor Alexandrovich'],Diveev Fedor Alexandrovich,[1],[1],['Diveev Fedor Alexandrovich'],0,1.0
COPYRIGHT CONTROL/LOPEZ JORGE MARQUEZ,LOPEZ/JORGE/MARQUEZ,"['COPYRIGHT CONTROL', 'LOPEZ JORGE MARQUEZ']",['LOPEZ JORGE MARQUEZ'],LOPEZ JORGE MARQUEZ,['LOPEZ JORGE MARQUEZ'],LOPEZ JORGE MARQUEZ,['LOPEZ JORGE MARQUEZ'],LOPEZ JORGE MARQUEZ,"[1, 1, 1, 0]","[0, 0, 0, 1]","['JORGE', 'LOPEZ', 'MARQUEZ', 'LOPEZ JORGE MARQUEZ']",8,0.0
Roy Orbison/Sam Phillips,Roy Orbison/Sam Phillips,"['Roy Orbison', 'Sam Phillips']","['Roy Orbison', 'Sam Phillips']",Roy Orbison/Sam Phillips,"['Roy Orbison', 'Sam Phillips']",Roy Orbison/Sam Phillips,"['Roy Orbison', 'Sam Phillips']",Roy Orbison/Sam Phillips,"[1, 1]","[1, 1]","['Sam Phillips', 'Roy Orbison']",0,1.0
Hank Cochran,Hank Cochran,['Hank Cochran'],['Hank Cochran'],Hank Cochran,['Hank Cochran'],Hank Cochran,['Hank Cochran'],Hank Cochran,[1],[1],['Hank Cochran'],0,1.0
fingerspit,fingerspit,['fingerspit'],['fingerspit'],fingerspit,['fingerspit'],fingerspit,[],,[1],[0],['fingerspit'],10,0.0
Jake Porter/Eunice Levy/Forest Gene Wilson,,"['Jake Porter', 'Eunice Levy', 'Forest Gene Wilson']","['Jake Porter', 'Eunice Levy', 'Forest Gene Wilson']",Jake Porter/Eunice Levy/Forest Gene Wilson,"['Jake Porter', 'Eunice Levy', 'Forest Gene Wilson']",Jake Porter/Eunice Levy/Forest Gene Wilson,"['Jake Porter', 'Eunice Levy', 'Forest Gene Wilson']",Jake Porter/Eunice Levy/Forest Gene Wilson,"[0, 0, 0]","[1, 1, 1]","['Jake Porter', 'Eunice Levy', 'Forest Gene Wilson']",42,0.0
Daniel Kim (김다니엘),Daniel Kim,"['Daniel Kim', '김다니엘']",['Daniel Kim'],Daniel Kim,['Daniel Kim'],Daniel Kim,['Daniel Kim'],Daniel Kim,[1],[1],['Daniel Kim'],0,1.0
Justin Elijah Jenkins/Roger Samuel Kleinman/Zachary E. Seman,Justin Elijah Jenkins/Roger Samuel Kleinman/Zachary E. Seman,"['Justin Elijah Jenkins', 'Roger Samuel Kleinman', 'Zachary E. Seman']","['Justin Elijah Jenkins', 'Roger Samuel Kleinman', 'Zachary E. Seman']",Justin Elijah Jenkins/Roger Samuel Kleinman/Zachary E. Seman,"['Justin Elijah Jenkins', 'Roger Samuel Kleinman', 'Zachary E. Seman']",Justin Elijah Jenkins/Roger Samuel Kleinman/Zachary E. Seman,"['Justin Elijah Jenkins', 'Roger Samuel Kleinman', 'Zachary E. Seman']",Justin Elijah Jenkins/Roger Samuel Kleinman/Zachary E. Seman,"[1, 1, 1]","[1, 1, 1]","['Roger Samuel Kleinman', 'Zachary E. Seman', 'Justin Elijah Jenkins']",0,1.0
S. Bruner/D. Albarn/G. Kurstin,S. Bruner/D. Albarn/G. Kurstin,"['S. Bruner', 'D. Albarn', 'G. Kurstin']","['S. Bruner', 'D. Albarn', 'G. Kurstin']",S. Bruner/D. Albarn/G. Kurstin,"['S. Bruner', 'D. Albarn', 'G. Kurstin']",S. Bruner/D. Albarn/G. Kurstin,"['S. Bruner', 'D. Albarn', 'G. Kurstin']",S. Bruner/D. Albarn/G. Kurstin,"[1, 1, 1]","[1, 1, 1]","['D. Albarn', 'G. Kurstin', 'S. Bruner']",0,1.0
Derrick Reynolds,Derrick Reynolds,['Derrick Reynolds'],['Derrick Reynolds'],Derrick Reynolds,['Derrick Reynolds'],Derrick Reynolds,['Derrick Reynolds'],Derrick Reynolds,[1],[1],['Derrick Reynolds'],0,1.0
Naoto Kubo,Naoto Kubo,['Naoto Kubo'],['Naoto Kubo'],Naoto Kubo,['Naoto Kubo'],Naoto Kubo,['Naoto Kubo'],Naoto Kubo,[1],[1],['Naoto Kubo'],0,1.0
Sawung Jabo,Sawung Jabo,['Sawung Jabo'],['Sawung Jabo'],Sawung Jabo,['Sawung Jabo'],Sawung Jabo,['Sawung Jabo'],Sawung Jabo,[1],[1],['Sawung Jabo'],0,1.0
Катерина Єрьоменко,,['Катерина Єрьоменко'],[],,[],,[],,[],[],[],0,0.0
John Pfeiffer/William D. Brohn,John Pfeiffer/William D. Brohn,"['John Pfeiffer', 'William D. Brohn']","['John Pfeiffer', 'William D. Brohn']",John Pfeiffer/William D. Brohn,"['John Pfeiffer', 'William D. Brohn']",John Pfeiffer/William D. Brohn,"['John Pfeiffer', 'William D. Brohn']",John Pfeiffer/William D. Brohn,"[1, 1]","[1, 1]","['William D. Brohn', 'John Pfeiffer']",0,1.0
Nick Phoenix/Thomas Bergersen,Nick Phoenix/Thomas Bergersen,"['Nick Phoenix', 'Thomas Bergersen']","['Nick Phoenix', 'Thomas Bergersen']",Nick Phoenix/Thomas Bergersen,"['Nick Phoenix', 'Thomas Bergersen']",Nick Phoenix/Thomas Bergersen,"['Nick Phoenix', 'Thomas Bergersen']",Nick Phoenix/Thomas Bergersen,"[1, 1]","[1, 1]","['Nick Phoenix', 'Thomas Bergersen']",0,1.0
Frank Madero/José Javier Puerta/Ramón Garriga,Frank Madero/José Javier Puerta/Ramón Garriga,"['Frank Madero', 'José Javier Puerta', 'Ramón Garriga']","['Frank Madero', 'José Javier Puerta', 'Ramón Garriga']",Frank Madero/José Javier Puerta/Ramón Garriga,"['Frank Madero', 'José Javier Puerta', 'Ramón Garriga']",Frank Madero/José Javier Puerta/Ramón Garriga,"['Frank Madero', 'José Javier Puerta', 'Ramón Garriga']",Frank Madero/José Javier Puerta/Ramón Garriga,"[1, 1, 1]","[1, 1, 1]","['Ramón Garriga', 'Frank Madero', 'José Javier Puerta']",0,1.0
Ernie Kovacs,Ernie Kovacs,['Ernie Kovacs'],['Ernie Kovacs'],Ernie Kovacs,['Ernie Kovacs'],Ernie Kovacs,['Ernie Kovacs'],Ernie Kovacs,[1],[1],['Ernie Kovacs'],0,1.0
Big Sad 1900,Big Sad 1900,['Big Sad 1900'],['Big Sad 1900'],Big Sad 1900,['Big Sad 1900'],Big Sad 1900,[],,[1],[0],['Big Sad 1900'],12,0.0
"<Unknown>/Jackson, Shawn Westly",Jackson/Shawn Westly,"['<Unknown>', 'Jackson', 'Shawn Westly']","['Jackson', 'Shawn Westly']",Jackson/Shawn Westly,"['Jackson', 'Shawn Westly']",Jackson/Shawn Westly,"['Jackson', 'Shawn Westly']",Jackson/Shawn Westly,"[1, 1]","[1, 1]","['Jackson', 'Shawn Westly']",0,1.0
Riccardo Marsili Feliciangeli/Lorenzo Sutto,Riccardo Marsili Feliciangeli/Lorenzo Sutto,"['Riccardo Marsili Feliciangeli', 'Lorenzo Sutto']","['Riccardo Marsili Feliciangeli', 'Lorenzo Sutto']",Riccardo Marsili Feliciangeli/Lorenzo Sutto,"['Riccardo Marsili Feliciangeli', 'Lorenzo Sutto']",Riccardo Marsili Feliciangeli/Lorenzo Sutto,"['Riccardo Marsili Feliciangeli', 'Lorenzo Sutto']",Riccardo Marsili Feliciangeli/Lorenzo Sutto,"[1, 1]","[1, 1]","['Riccardo Marsili Feliciangeli', 'Lorenzo Sutto']",0,1.0
Jaylon Rhodes,Jaylon Rhodes,['Jaylon Rhodes'],['Jaylon Rhodes'],Jaylon Rhodes,['Jaylon Rhodes'],Jaylon Rhodes,['Jaylon Rhodes'],Jaylon Rhodes,[1],[1],['Jaylon Rhodes'],0,1.0
Butch Redworth/Denzel Farrington,Butch Redworth/Denzel Farrington,"['Butch Redworth', 'Denzel Farrington']","['Butch Redworth', 'Denzel Farrington']",Butch Redworth/Denzel Farrington,"['Butch Redworth', 'Denzel Farrington']",Butch Redworth/Denzel Farrington,"['Butch Redworth', 'Denzel Farrington']",Butch Redworth/Denzel Farrington,"[1, 1]","[1, 1]","['Denzel Farrington', 'Butch Redworth']",0,1.0
"Devontae Loper, Dedrick Wright & Christian Landry",Devontae Loper/Dedrick Wright/Christian Landry,"['Devontae Loper', 'Dedrick Wright', 'Christian Landry']","['Devontae Loper', 'Dedrick Wright', 'Christian Landry']",Devontae Loper/Dedrick Wright/Christian Landry,"['Devontae Loper', 'Dedrick Wright', 'Christian Landry']",Devontae Loper/Dedrick Wright/Christian Landry,"['Devontae Loper', 'Dedrick Wright', 'Christian Landry']",Devontae Loper/Dedrick Wright/Christian Landry,"[1, 1, 1]","[1, 1, 1]","['Devontae Loper', 'Dedrick Wright', 'Christian Landry']",0,1.0
Carlos Marques/Copyright Control,Carlos Marques,"['Carlos Marques', 'Copyright Control']",['Carlos Marques'],Carlos Marques,['Carlos Marques'],Carlos Marques,['Carlos Marques'],Carlos Marques,[1],[1],['Carlos Marques'],0,1.0
Abby Mccawley,Abby Mccawley,['Abby Mccawley'],['Abby Mccawley'],Abby Mccawley,['Abby Mccawley'],Abby Mccawley,['Abby Mccawley'],Abby Mccawley,[1],[1],['Abby Mccawley'],0,1.0
José Manuel Figueroa II,José Manuel Figueroa II,['José Manuel Figueroa II'],['José Manuel Figueroa II'],José Manuel Figueroa II,['José Manuel Figueroa II'],José Manuel Figueroa II,['José Manuel Figueroa II'],José Manuel Figueroa II,[1],[1],['José Manuel Figueroa II'],0,1.0
Roger Ramirez/Bruce Dickinson,Roger Ramirez/Bruce Dickinson,"['Roger Ramirez', 'Bruce Dickinson']","['Roger Ramirez', 'Bruce Dickinson']",Roger Ramirez/Bruce Dickinson,"['Roger Ramirez', 'Bruce Dickinson']",Roger Ramirez/Bruce Dickinson,"['Roger Ramirez', 'Bruce Dickinson']",Roger Ramirez/Bruce Dickinson,"[1, 1]","[1, 1]","['Bruce Dickinson', 'Roger Ramirez']",0,1.0
AEPI/Filippos Nikolaou/Giorgos Chatzinasios,Filippos Nikolaou/Giorgos Chatzinasios,"['AEPI', 'Filippos Nikolaou', 'Giorgos Chatzinasios']","['AEPI', 'Filippos Nikolaou', 'Giorgos Chatzinasios']",AEPI/Filippos Nikolaou/Giorgos Chatzinasios,"['AEPI', 'Filippos Nikolaou', 'Giorgos Chatzinasios']",AEPI/Filippos Nikolaou/Giorgos Chatzinasios,"['Filippos Nikolaou', 'Giorgos Chatzinasios']",Filippos Nikolaou/Giorgos Chatzinasios,"[1, 1]","[1, 1]","['Filippos Nikolaou', 'Giorgos Chatzinasios']",0,1.0
Diana Iman,Diana Iman,['Diana Iman'],['Diana Iman'],Diana Iman,['Diana Iman'],Diana Iman,['Diana Iman'],Diana Iman,[1],[1],['Diana Iman'],0,1.0
SuperFitness/Stefano Folegatti/Planeta Mix Records S.L./Copyright Control,SuperFitness/Stefano Folegatti,"['SuperFitness', 'Stefano Folegatti', 'Planeta Mix Records S.L.', 'Copyright Control']","['SuperFitness', 'Stefano Folegatti', 'Planeta Mix S.L.']",SuperFitness/Stefano Folegatti/Planeta Mix S.L.,"['SuperFitness', 'Stefano Folegatti', 'Planeta Mix S.L.']",SuperFitness/Stefano Folegatti/Planeta Mix S.L.,['Stefano Folegatti'],Stefano Folegatti,"[1, 1]","[1, 0]","['Stefano Folegatti', 'SuperFitness']",13,0.11633369384516798
LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,['LOS YANIS DE VILLA DE GPE.'],['LOS YANIS DE VILLA DE GPE.'],LOS YANIS DE VILLA DE GPE.,['LOS YANIS DE VILLA DE GPE.'],LOS YANIS DE VILLA DE GPE.,[],,[1],[0],['LOS YANIS DE VILLA DE GPE.'],26,0.0
John Scofield/Richard Seidel,John Scofield/Richard Seidel,"['John Scofield', 'Richard Seidel']","['John Scofield', 'Richard Seidel']",John Scofield/Richard Seidel,"['John Scofield', 'Richard Seidel']",John Scofield/Richard Seidel,"['John Scofield', 'Richard Seidel']",John Scofield/Richard Seidel,"[1, 1]","[1, 1]","['John Scofield', 'Richard Seidel']",0,1.0
Suzi Analogue,Suzi Analogue,['Suzi Analogue'],['Suzi Analogue'],Suzi Analogue,['Suzi Analogue'],Suzi Analogue,['Suzi Analogue'],Suzi Analogue,[1],[1],['Suzi Analogue'],0,1.0
Clyde Carson,Clyde Carson,['Clyde Carson'],['Clyde Carson'],Clyde Carson,['Clyde Carson'],Clyde Carson,['Clyde Carson'],Clyde Carson,[1],[1],['Clyde Carson'],0,1.0
Konstantin Baratashvili,Konstantin Baratashvili,['Konstantin Baratashvili'],['Konstantin Baratashvili'],Konstantin Baratashvili,['Konstantin Baratashvili'],Konstantin Baratashvili,['Konstantin Baratashvili'],Konstantin Baratashvili,[1],[1],['Konstantin Baratashvili'],0,1.0
"Daniel Seavey,Antony Muse",Daniel Seavey/Antony Muse,"['Daniel Seavey', 'Antony Muse']","['Daniel Seavey', 'Antony Muse']",Daniel Seavey/Antony Muse,"['Daniel Seavey', 'Antony Muse']",Daniel Seavey/Antony Muse,"['Daniel Seavey', 'Antony Muse']",Daniel Seavey/Antony Muse,"[1, 1]","[1, 1]","['Antony Muse', 'Daniel Seavey']",0,1.0
Roberto Diaz,Roberto Diaz,['Roberto Diaz'],['Roberto Diaz'],Roberto Diaz,['Roberto Diaz'],Roberto Diaz,['Roberto Diaz'],Roberto Diaz,[1],[1],['Roberto Diaz'],0,1.0
Vadim Peare/Óliver Gallego Sarmiento,Vadim Peare/Óliver Gallego Sarmiento,"['Vadim Peare', 'Óliver Gallego Sarmiento']","['Vadim Peare', 'Óliver Gallego Sarmiento']",Vadim Peare/Óliver Gallego Sarmiento,"['Vadim Peare', 'Óliver Gallego Sarmiento']",Vadim Peare/Óliver Gallego Sarmiento,"['Vadim Peare', 'Óliver Gallego Sarmiento']",Vadim Peare/Óliver Gallego Sarmiento,"[1, 1]","[1, 1]","['Óliver Gallego Sarmiento', 'Vadim Peare']",0,1.0
Nikki Sixx/Dave Darling,Nikki Sixx/Dave Darling,"['Nikki Sixx', 'Dave Darling']","['Nikki Sixx', 'Dave Darling']",Nikki Sixx/Dave Darling,"['Nikki Sixx', 'Dave Darling']",Nikki Sixx/Dave Darling,"['Nikki Sixx', 'Dave Darling']",Nikki Sixx/Dave Darling,"[1, 1]","[1, 1]","['Nikki Sixx', 'Dave Darling']",0,1.0
Sergio De Karlo,Sergio De Karlo,['Sergio De Karlo'],['Sergio De Karlo'],Sergio De Karlo,['Sergio De Karlo'],Sergio De Karlo,['Sergio De Karlo'],Sergio De Karlo,[1],[1],['Sergio De Karlo'],0,1.0
Miki Hankomäki/Janne Pajunen/Axel Turunen/Veikko Heikkilä/Oula Maaranen/Johannes Naukkarinen,Miki Hankomäki/Janne Pajunen/Axel Turunen/Veikko Heikkilä/Oula Maaranen/Johannes Naukkarinen,"['Miki Hankomäki', 'Janne Pajunen', 'Axel Turunen', 'Veikko Heikkilä', 'Oula Maaranen', 'Johannes Naukkarinen']","['Miki Hankomäki', 'Janne Pajunen', 'Axel Turunen', 'Veikko Heikkilä', 'Oula Maaranen', 'Johannes Naukkarinen']",Miki Hankomäki/Janne Pajunen/Axel Turunen/Veikko Heikkilä/Oula Maaranen/Johannes Naukkarinen,"['Miki Hankomäki', 'Janne Pajunen', 'Axel Turunen', 'Veikko Heikkilä', 'Oula Maaranen', 'Johannes Naukkarinen']",Miki Hankomäki/Janne Pajunen/Axel Turunen/Veikko Heikkilä/Oula Maaranen/Johannes Naukkarinen,"['Miki Hankomäki', 'Janne Pajunen', 'Axel Turunen', 'Veikko Heikkilä', 'Oula Maaranen', 'Johannes Naukkarinen']",Miki Hankomäki/Janne Pajunen/Axel Turunen/Veikko Heikkilä/Oula Maaranen/Johannes Naukkarinen,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","['Oula Maaranen', 'Miki Hankomäki', 'Janne Pajunen', 'Axel Turunen', 'Johannes Naukkarinen', 'Veikko Heikkilä']",0,1.0
Smokey,Smokey,['Smokey'],['Smokey'],Smokey,['Smokey'],Smokey,[],,[1],[0],['Smokey'],6,0.0
"<Unknown>/Gutierrez, Quincy",Gutierrez/ Quincy,"['<Unknown>', 'Gutierrez', 'Quincy']","['Gutierrez', 'Quincy']",Gutierrez/Quincy,"['Gutierrez', 'Quincy']",Gutierrez/Quincy,"['Gutierrez', 'Quincy']",Gutierrez/Quincy,"[1, 1]","[1, 1]","['Quincy', 'Gutierrez']",0,1.0
Samuel Yáñez Flores,Samuel Yáñez Flores,['Samuel Yáñez Flores'],['Samuel Yáñez Flores'],Samuel Yáñez Flores,['Samuel Yáñez Flores'],Samuel Yáñez Flores,['Samuel Yáñez Flores'],Samuel Yáñez Flores,[1],[1],['Samuel Yáñez Flores'],0,1.0
Reuben Morgan/Brian Johnson/Ben Fielding/Matt Crocker,Reuben Morgan/Brian Johnson/Ben Fielding/Matt Crocker,"['Reuben Morgan', 'Brian Johnson', 'Ben Fielding', 'Matt Crocker']","['Reuben Morgan', 'Brian Johnson', 'Ben Fielding', 'Matt Crocker']",Reuben Morgan/Brian Johnson/Ben Fielding/Matt Crocker,"['Reuben Morgan', 'Brian Johnson', 'Ben Fielding', 'Matt Crocker']",Reuben Morgan/Brian Johnson/Ben Fielding/Matt Crocker,"['Reuben Morgan', 'Brian Johnson', 'Ben Fielding', 'Matt Crocker']",Reuben Morgan/Brian Johnson/Ben Fielding/Matt Crocker,"[1, 1, 1, 1]","[1, 1, 1, 1]","['Matt Crocker', 'Reuben Morgan', 'Ben Fielding', 'Brian Johnson']",0,1.0
Christian Bruhn,Christian Bruhn,['Christian Bruhn'],['Christian Bruhn'],Christian Bruhn,['Christian Bruhn'],Christian Bruhn,['Christian Bruhn'],Christian Bruhn,[1],[1],['Christian Bruhn'],0,1.0
James Charles Murray,James Charles Murray,['James Charles Murray'],['James Charles Murray'],James Charles Murray,['James Charles Murray'],James Charles Murray,['James Charles Murray'],James Charles Murray,[1],[1],['James Charles Murray'],0,1.0
Rolfe Kent,Rolfe Kent,['Rolfe Kent'],['Rolfe Kent'],Rolfe Kent,['Rolfe Kent'],Rolfe Kent,['Rolfe Kent'],Rolfe Kent,[1],[1],['Rolfe Kent'],0,1.0
edgar isidro vallejo,edgar isidro vallejo,['edgar isidro vallejo'],['edgar isidro vallejo'],edgar isidro vallejo,['edgar isidro vallejo'],edgar isidro vallejo,['edgar isidro vallejo'],edgar isidro vallejo,[1],[1],['edgar isidro vallejo'],0,1.0
"Miguel Ángel Segura, Eric Fernando Martinez & Roberto Valle",Miguel Ángel Segura/Eric Fernando Martinez/ Roberto Valle,"['Miguel Ángel Segura', 'Eric Fernando Martinez', 'Roberto Valle']","['Miguel Ángel Segura', 'Eric Fernando Martinez', 'Roberto Valle']",Miguel Ángel Segura/Eric Fernando Martinez/Roberto Valle,"['Miguel Ángel Segura', 'Eric Fernando Martinez', 'Roberto Valle']",Miguel Ángel Segura/Eric Fernando Martinez/Roberto Valle,"['Miguel Ángel Segura', 'Eric Fernando Martinez', 'Roberto Valle']",Miguel Ángel Segura/Eric Fernando Martinez/Roberto Valle,"[1, 1, 1]","[1, 1, 1]","['Roberto Valle', 'Miguel Ángel Segura', 'Eric Fernando Martinez']",0,1.0
Jean-Baptiste Merl/Diffuse Reality Records,Jean-Baptiste Merl/Diffuse Reality Records,"['Jean-Baptiste Merl', 'Diffuse Reality Records']","['Jean-Baptiste Merl', 'Diffuse Reality']",Jean-Baptiste Merl/Diffuse Reality,"['Jean-Baptiste Merl', 'Diffuse Reality']",Jean-Baptiste Merl/Diffuse Reality,['Jean-Baptiste Merl'],Jean-Baptiste Merl,"[1, 1]","[0, 1]","['Diffuse Reality Records', 'Jean-Baptiste Merl']",24,0.11633369384516798
Mr. Mack & Smoke Boogie,Mr. Mack/Smoke Boogie,"['Mr. Mack', 'Smoke Boogie']","['Mr. Mack', 'Smoke Boogie']",Mr. Mack/Smoke Boogie,"['Mr. Mack', 'Smoke Boogie']",Mr. Mack/Smoke Boogie,['Mr. Mack'],Mr. Mack,"[1, 1]","[0, 1]","['Smoke Boogie', 'Mr. Mack']",13,0.11633369384516798
Giring Ganesha,Giring Ganesha,['Giring Ganesha'],['Giring Ganesha'],Giring Ganesha,['Giring Ganesha'],Giring Ganesha,['Giring Ganesha'],Giring Ganesha,[1],[1],['Giring Ganesha'],0,1.0
GARZA ARMANDO/GARZA TIFFANY,GARZA ARMANDO/GARZA TIFFANY,"['GARZA ARMANDO', 'GARZA TIFFANY']","['GARZA ARMANDO', 'GARZA TIFFANY']",GARZA ARMANDO/GARZA TIFFANY,"['GARZA ARMANDO', 'GARZA TIFFANY']",GARZA ARMANDO/GARZA TIFFANY,"['GARZA ARMANDO', 'GARZA TIFFANY']",GARZA ARMANDO/GARZA TIFFANY,"[1, 1]","[1, 1]","['GARZA TIFFANY', 'GARZA ARMANDO']",0,1.0
"KP GRETZKY, Skino & KP SKYWALKA",KP GRETZKY/Skino /KP SKYWALKA,"['KP GRETZKY', 'Skino', 'KP SKYWALKA']","['KP GRETZKY', 'Skino', 'KP SKYWALKA']",KP GRETZKY/Skino/KP SKYWALKA,"['KP GRETZKY', 'Skino', 'KP SKYWALKA']",KP GRETZKY/Skino/KP SKYWALKA,"['KP GRETZKY', 'Skino', 'KP SKYWALKA']",KP GRETZKY/Skino/KP SKYWALKA,"[1, 1, 1]","[1, 1, 1]","['KP GRETZKY', 'Skino', 'KP SKYWALKA']",0,1.0
RR/Peđa Medenica,RR/Peđa Medenica,"['RR', 'Peđa Medenica']","['RR', 'Peđa Medenica']",RR/Peđa Medenica,"['RR', 'Peđa Medenica']",RR/Peđa Medenica,['Peđa Medenica'],Peđa Medenica,"[1, 1]","[0, 1]","['RR', 'Peđa Medenica']",3,0.11633369384516798
jon-YAKITORY,jon-YAKITORY,['jon-YAKITORY'],['jon-YAKITORY'],jon-YAKITORY,['jon-YAKITORY'],jon-YAKITORY,[],,[1],[0],['jon-YAKITORY'],12,0.0
